paint name,start,ATRX,H4K8ac,HDAC2,H3K9ac,H3K9me3,H3K9me2,RNAPIISer2-P,H3,H3K36me2,UBTF,LaminB1,RNAPIISer5-P,RYBP,HP1beta,RING1B,H2A.X,H3K4me1,H4K20me2,H3K27me2,JARID2,SF3A66,CBP,H2AK119u1,EZH2,H3K4me2,BRG1,HP1alpha,Fibrillarin,KAP1,H3K27ac,H3K4me3,H3K36ac,H3K14ac,H4K20me1,HP1gamma,H4K20me3,H3K27me3,mH2A1,CHD4,KAT3B/p300,H3K56ac,H3K36me3,SUZ12,H4K16ac,HDAC1,SOX2,BRD4,CPSF6,rDNA,Telomere,MinSat,MajSat,Malat1_RNA,ITS1_RNA,Rnu2_RNA,polyA_RNA,n_rad_score,n_per_dist(um)
1,3000000,-0.12174,-0.3053,-0.2638,-0.33693,0.28024,0.1885,-0.1147,-0.052239,0.038227,-0.258,0.31868,-0.28806,-0.13714,-0.1444099999999999,0.16247,0.17368,-0.0392529999999999,0.15047,0.18354,-0.1486299999999999,-0.24625,-0.2747199999999999,-0.0124269999999999,0.04728,-0.26448,-0.29223,0.0139449999999999,-0.12399,-0.1347,-0.31035,-0.23953,-0.15577,0.12863,-0.14386,-0.036229,0.28724,-0.19449,-0.11525,-0.30261,-0.11205,0.14089,0.01372,-0.001739,0.1239599999999999,-0.2324099999999999,-0.25778,-0.028285,-0.29556,-0.2228099999999999,-0.20274,-0.19324,-0.29645,-0.44342,-0.16839,-0.43794,-0.14337,0.8405317025054974,0.644458640872783
2,4500000,0.003958,-0.10714,-0.0723515,-0.1158299999999999,0.417615,0.37568,-0.0172904999999999,-0.0160445,0.07628,-0.145925,0.3300599999999999,-0.066601,-0.0312134999999999,-0.1223249999999999,0.2039349999999999,0.268075,0.14501,0.326795,0.375235,0.028101,-0.2014,-0.14293,0.13883,0.0544814999999999,-0.092524,-0.16151,0.2105599999999999,-0.125335,0.061041,-0.194105,-0.03678,-0.0187169999999999,0.30378,-0.0122675,-0.021765,0.51234,-0.10767,0.0438335,-0.112015,-0.068405,0.340895,-0.039111,-0.1182449999999999,0.3081199999999999,-0.0791185,-0.081339,-0.0740679999999999,-0.1392899999999999,-0.22648,-0.1924549999999999,-0.18458,-0.30317,-0.34021,-0.177255,-0.33224,-0.13216,0.827039736919448,0.6988574510933152
3,6000000,-0.066648,-0.18189,-0.1517099999999999,-0.18842,0.3352699999999999,0.25004,-0.038113,-0.0065349999999999,0.1505099999999999,-0.17479,0.37953,-0.1491299999999999,-0.095276,-0.1127099999999999,0.25121,0.19715,0.058851,0.2479,0.26695,-0.046296,-0.23801,-0.18828,0.0555289999999999,0.090146,-0.16814,-0.20847,0.10497,-0.13385,-0.023613,-0.19825,-0.10389,-0.064233,0.23674,-0.076924,-0.026249,0.35031,-0.13612,-0.0579169999999999,-0.22891,-0.093791,0.2122099999999999,0.005065,-0.021775,0.25104,-0.16626,-0.16774,-0.085711,-0.20407,-0.2259699999999999,-0.1992799999999999,-0.1948,-0.32455,-0.38423,-0.17079,-0.37407,-0.11465,0.8360239393176963,0.6664090692697875
4,7500000,-0.19429,-0.40688,-0.36765,-0.34662,0.1929799999999999,0.19714,-0.13154,0.016512,0.097149,-0.33395,0.3986099999999999,-0.40495,-0.19819,-0.12734,0.23046,0.15647,-0.085377,0.093872,0.071438,-0.16827,-0.28419,-0.36879,-0.069357,0.12511,-0.40385,-0.35723,-0.0610799999999999,-0.16905,-0.24483,-0.41157,-0.32193,-0.2771,0.0883019999999999,-0.20103,-0.085437,0.28553,-0.23144,-0.17742,-0.37432,-0.21334,0.13079,0.02193,0.10274,0.01365,-0.31168,-0.25756,-0.012518,-0.30519,-0.22838,-0.20697,-0.1982,-0.31438,-0.49398,-0.16819,-0.50264,-0.12365,0.858007258613255,0.5785721407291637
5,9000000,0.057462,0.007247,0.0302504999999999,-0.025411,0.432855,0.334535,-0.021725,-0.0531049999999999,0.1107149999999999,-0.048053,0.32382,0.097093,0.060144,-0.0355329999999999,0.1800199999999999,0.37579,0.25456,0.3526349999999999,0.437715,0.1011799999999999,-0.20966,0.0123725,0.2098249999999999,0.131195,0.0360809999999999,-0.061956,0.285915,-0.0610379999999999,0.15815,-0.051832,0.1166049999999999,0.0357214999999999,0.360955,0.0792485,0.02257,0.4602999999999999,-0.0155355,0.15794,-0.0127494999999999,0.071633,0.374475,0.041441,-0.0666545,0.402335,-0.021659,-0.0081105,-0.0577019999999999,-0.000369,-0.2243249999999999,-0.19869,-0.1861999999999999,-0.313915,-0.2524699999999999,-0.1661699999999999,-0.2462599999999999,-0.0676124999999999,0.8147781082741741,0.7496718297259524
6,10500000,0.2231699999999999,0.34688,0.27076,0.19226,0.4967,0.46178,0.034115,-0.05069,0.083307,0.0435529999999999,0.30274,0.46853,0.31744,-0.009224,0.24583,0.49849,0.47266,0.52513,0.6866300000000001,0.22386,-0.087105,0.1955599999999999,0.42338,0.082916,0.30994,0.18058,0.48532,-0.080584,0.37977,0.24491,0.16491,0.24183,0.56355,0.21708,0.11143,0.61612,0.1027,0.42394,0.26693,0.15997,0.4852,0.068023,-0.22449,0.56665,0.16626,0.2205,-0.1265,0.27212,-0.22958,-0.2073199999999999,-0.18836,-0.33248,-0.054359,-0.16387,-0.02467,-0.060023,0.7646151255651484,0.9724025451591184
7,12000000,0.26343,0.36569,0.27814,0.1986099999999999,0.5103,0.50097,0.094798,-0.038279,0.097124,-0.024602,0.2934,0.39582,0.29193,-0.001089,0.22691,0.60673,0.51085,0.5639,0.77028,0.27595,-0.11402,0.17931,0.4914199999999999,0.044029,0.30448,0.15763,0.57099,-0.077798,0.42372,0.17033,0.14854,0.24955,0.6228199999999999,0.2624,0.058614,0.71526,0.1582299999999999,0.49387,0.2995,0.18916,0.57868,0.047823,-0.24623,0.5935199999999999,0.23113,0.25655,-0.15585,0.18218,-0.23573,-0.20305,-0.18837,-0.33873,0.02178,-0.1761,-0.021541,-0.090336,0.7736272971894532,0.9238020005742626
8,13500000,0.012808,0.0309424999999999,0.0024714999999999,-0.0657654999999999,0.421165,0.4336349999999999,-0.055503,-0.071864,0.054326,-0.1179299999999999,0.2827,0.0567654999999999,0.0247044999999999,-0.0842325,0.20554,0.4502149999999999,0.256285,0.41188,0.6048450000000001,0.13902,-0.17323,-0.0904735,0.28239,0.0310985,0.011021,-0.088833,0.312895,-0.09919,0.132645,-0.090646,-0.019301,0.0983125,0.4274549999999999,0.0287999999999999,-0.0297899999999999,0.5689200000000001,0.0196615,0.2215,-0.024988,0.0343819999999999,0.38039,0.07157,-0.148725,0.468345,-0.0304475,-0.046645,-0.1155799999999999,-0.1191,-0.226775,-0.2090349999999999,-0.19666,-0.341105,-0.28115,-0.18077,-0.30813,-0.16895,0.8191699166870543,0.7358438147781567
9,15000000,-0.070965,-0.1157,-0.13679,-0.19509,0.35297,0.27564,-0.027732,0.001165,0.1273,-0.19662,0.39454,-0.098345,-0.088184,-0.08489,0.22516,0.3362,0.12495,0.28398,0.40131,0.01538,-0.23824,-0.18913,0.14577,0.067165,-0.15027,-0.21405,0.22057,-0.079907,0.0136789999999999,-0.18457,-0.070602,-0.060085,0.3103599999999999,-0.0626419999999999,-0.064091,0.4366899999999999,-0.13018,0.047254,-0.1721099999999999,-0.067336,0.2876,0.009774,0.0084459999999999,0.33741,-0.15534,-0.13423,-0.056969,-0.20056,-0.23651,-0.2156199999999999,-0.2025799999999999,-0.34401,-0.38617,-0.17732,-0.3978,-0.004806,0.8322475967645775,0.6973152415187762
10,16500000,-0.073864,-0.15297,-0.14205,-0.1842099999999999,0.343,0.29231,-0.080762,0.03159,0.099312,-0.17274,0.314,-0.1522099999999999,-0.10201,-0.10071,0.20224,0.32308,0.089045,0.2902,0.36521,-0.0195849999999999,-0.2347199999999999,-0.22514,0.11557,0.091731,-0.19357,-0.25729,0.11291,-0.13423,-0.034857,-0.2455,-0.11869,-0.14582,0.3082,-0.079658,-0.0798789999999999,0.40684,-0.1310599999999999,0.021041,-0.20963,-0.078927,0.24996,0.002206,0.0073799999999999,0.28146,-0.18908,-0.19215,-0.075988,-0.19543,-0.23267,-0.2221199999999999,-0.2061,-0.34238,-0.40016,-0.16955,-0.39749,-0.10387,0.8328322413146818,0.6742183886824433
11,18000000,-0.034535,-0.18608,-0.18122,-0.22534,0.3966699999999999,0.28422,-0.069584,-0.016611,0.13559,-0.21863,0.41641,-0.21643,-0.082012,-0.086268,0.3278,0.40371,0.077674,0.31785,0.33435,-0.040277,-0.22369,-0.2192,0.1843,0.12659,-0.18953,-0.24424,0.17736,-0.097295,-0.031374,-0.2390199999999999,-0.22113,-0.1049,0.3498199999999999,-0.12473,-0.087893,0.40699,-0.044182,0.10137,-0.21714,-0.049845,0.27426,0.0449769999999999,0.077392,0.2327,-0.17032,-0.1517099999999999,-0.017621,-0.1942299999999999,-0.22782,-0.20976,-0.2039099999999999,-0.33497,-0.40491,-0.1729,-0.43738,-0.11499,0.8305033462188867,0.6938641592374157
12,19500000,0.099454,0.032302,0.032267,-0.010337,0.44295,0.42067,-0.0040869999999999,-0.0568169999999999,0.1401099999999999,-0.12972,0.34502,0.041808,0.039368,-0.078938,0.40078,0.5613600000000001,0.2961,0.46443,0.59718,0.080042,-0.16142,-0.0482019999999999,0.37415,0.09447,-0.000991,-0.077628,0.33583,-0.091694,0.16616,-0.041857,-0.065109,0.0587549999999999,0.51305,0.047907,0.049897,0.54765,0.1678599999999999,0.36732,0.0033179999999999,0.037372,0.39523,0.039915,-0.0577,0.43825,0.033003,0.0302759999999999,-0.041283,-0.031106,-0.23096,-0.2083,-0.20078,-0.34074,-0.26606,-0.16329,-0.32097,-0.09995,0.8115517233633045,0.7797242239710029
13,21000000,0.094795,0.047136,0.037455,0.003664,0.3887199999999999,0.40892,0.029698,-0.034968,0.096435,-0.10804,0.29174,0.0245449999999999,0.0261449999999999,-0.040684,0.19335,0.46088,0.27778,0.40764,0.51718,0.1346,-0.17998,-0.028095,0.30619,0.1209,0.0312949999999999,-0.03737,0.30403,-0.083272,0.14053,-0.016576,-0.045396,0.023456,0.46116,0.0206,-0.016225,0.43923,0.081201,0.2662,-0.018186,0.066714,0.32787,0.076616,-0.095721,0.42405,-0.033738,0.024602,-0.064108,-0.058376,-0.23201,-0.2170699999999999,-0.20986,-0.3456599999999999,-0.25285,-0.17243,-0.27391,-0.060731,0.8019740632090965,0.8203119364854174
14,22500000,0.135865,0.139905,0.149065,0.0698304999999999,0.4142399999999999,0.3794349999999999,0.0365445,-0.0611459999999999,0.0658904999999999,-0.0110634999999999,0.306185,0.18697,0.1096,-0.0308764999999999,0.142305,0.4934249999999999,0.3267799999999999,0.41241,0.505475,0.19572,-0.1533749999999999,0.13702,0.317125,0.12476,0.1614199999999999,0.0122605,0.3453349999999999,-0.0616935,0.222495,0.10852,0.10821,0.173955,0.4703,0.133815,0.0105955,0.43577,0.0042845,0.24718,0.047474,0.086902,0.372575,0.038654,-0.14887,0.507375,-0.0143194999999999,0.022032,-0.082409,0.0444819999999999,-0.23241,-0.2114999999999999,-0.20066,-0.34429,-0.25456,-0.172235,-0.253885,-0.09247,0.8061600612712118,0.8049047012694286
15,24000000,0.2051599999999999,0.32042,0.23705,0.1346099999999999,0.51751,0.45016,0.0702179999999999,-0.063436,0.0912169999999999,0.004011,0.3235699999999999,0.32227,0.21125,0.056039,0.2351099999999999,0.45374,0.3946699999999999,0.43515,0.61542,0.20405,-0.15433,0.14742,0.37751,0.073306,0.2709,0.10733,0.41465,-0.07578,0.29748,0.12014,0.15442,0.26256,0.55928,0.25579,0.057999,0.51563,0.05801,0.37448,0.17454,0.094195,0.43091,0.095667,-0.19165,0.59183,0.089542,0.10514,-0.063635,0.1571,-0.22675,-0.20954,-0.19602,-0.3427,-0.13495,-0.17478,-0.18505,-0.1087,0.7824915822578015,0.8934240786559098
16,25500000,0.039672,0.006228,-0.048531,-0.11316,0.5424100000000001,0.4268699999999999,-0.07591,-0.007043,0.05876,-0.14012,0.32789,-0.022853,-0.005846,-0.035468,0.21959,0.4408399999999999,0.1973599999999999,0.34108,0.47013,0.10434,-0.2135099999999999,-0.0626029999999999,0.2390199999999999,0.10676,-0.068592,-0.13078,0.2581699999999999,-0.15515,0.066495,-0.11522,-0.11824,-0.027478,0.46036,0.043883,-0.012957,0.50438,-0.12111,0.1580099999999999,-0.059473,0.04102,0.24846,0.045426,-0.059021,0.36726,-0.0733419999999999,-0.077605,-0.055566,-0.0802679999999999,-0.22465,-0.2128699999999999,-0.20592,-0.3468699999999999,-0.31331,-0.1684,-0.33283,-0.077982,0.8186152171436619,0.7367593393058325
17,27000000,-0.087562,-0.18055,-0.19166,-0.25269,0.49867,0.34953,-0.069111,0.022778,0.1557,-0.27407,0.434,-0.25004,-0.11388,-0.11764,0.2076,0.3007599999999999,0.073502,0.20613,0.36968,-0.058569,-0.25305,-0.2235,0.12663,0.19513,-0.23178,-0.25777,0.13046,-0.15309,-0.072943,-0.2637,-0.2393699999999999,-0.15028,0.30287,-0.081968,0.016355,0.42513,-0.17008,0.073409,-0.20157,-0.072042,0.15128,-0.032279,0.05661,0.1943099999999999,-0.20467,-0.1902599999999999,-0.030423,-0.20192,-0.2264699999999999,-0.2080199999999999,-0.20499,-0.34407,-0.41691,-0.16981,-0.45067,-0.10965,0.8401275173201608,0.6424129647429693
18,28500000,-0.0606019999999999,-0.28696,-0.28493,-0.31679,0.41112,0.3211699999999999,-0.12225,0.027953,0.16232,-0.22493,0.4923,-0.33674,-0.14989,-0.10743,0.25571,0.28142,0.022436,0.1908,0.29431,-0.12237,-0.25048,-0.26505,0.076682,0.2128699999999999,-0.33935,-0.28564,0.1327,-0.12937,-0.11675,-0.35228,-0.30733,-0.1851,0.30556,-0.126,-0.0300839999999999,0.40757,-0.20926,-0.017877,-0.27509,-0.11264,0.1577599999999999,0.065162,0.074319,0.16645,-0.2319699999999999,-0.21308,0.054157,-0.25221,-0.22755,-0.21609,-0.20774,-0.33901,-0.44812,-0.17199,-0.48843,-0.06934,0.8346359557016503,0.6643261786468191
19,30000000,-0.036792,-0.1402,-0.1394099999999999,-0.18757,0.40501,0.26569,-0.050894,-0.009011,0.092481,-0.203,0.33443,-0.16109,-0.062186,-0.057862,0.2329699999999999,0.35443,0.1246,0.26306,0.40029,0.031941,-0.2261099999999999,-0.17406,0.14135,0.099652,-0.16146,-0.21265,0.1649,-0.16142,-0.020357,-0.24458,-0.1775,-0.060858,0.35683,-0.002863,-0.012908,0.44101,-0.16039,0.0624169999999999,-0.1260099999999999,-0.065648,0.22265,0.099907,-0.016475,0.2622,-0.10042,-0.10538,-0.031187,-0.18753,-0.23705,-0.21511,-0.2048199999999999,-0.34915,-0.34748,-0.16754,-0.38123,-0.11342,0.8175766355756366,0.7333601041478932
20,31500000,-0.020687,-0.11722,-0.11239,-0.16674,0.44113,0.32943,-0.039957,-0.0114,0.14224,-0.15711,0.38032,-0.1573099999999999,-0.082524,-0.13122,0.2065,0.3926,0.13205,0.30817,0.4671399999999999,0.000124,-0.21681,-0.17823,0.17264,0.16279,-0.15714,-0.2211,0.19133,-0.20229,-7.8e-05,-0.20355,-0.1217099999999999,-0.091142,0.38405,-0.00506,-0.069945,0.4884199999999999,-0.16398,0.077463,-0.14848,-0.058535,0.2596199999999999,0.095776,-0.008681,0.3513,-0.13273,-0.13374,-0.014242,-0.1685,-0.22771,-0.21415,-0.20214,-0.34079,-0.34694,-0.16134,-0.35001,-0.091494,0.8315974465101267,0.6731774513850017
21,33000000,0.26768,0.36535,0.35323,0.25163,0.43777,0.38896,0.063354,0.020708,0.11359,0.090177,0.29654,0.39543,0.2913199999999999,0.015202,0.2096,0.54227,0.5080899999999999,0.52662,0.70323,0.27721,-0.061824,0.24491,0.46071,0.069122,0.37671,0.18796,0.45968,-0.057925,0.38003,0.21403,0.28142,0.31528,0.60736,0.30203,0.063212,0.61865,-0.0008029999999999,0.3718599999999999,0.26694,0.2136,0.4679,0.14115,-0.2231,0.6292300000000001,0.21553,0.16035,-0.12111,0.24064,-0.22725,-0.21584,-0.19432,-0.34812,-0.066036,-0.16884,-0.084451,-0.018176,0.7690601901291831,0.9627962607818166
22,34500000,0.48908,0.81212,0.68156,0.65591,0.44993,0.4604899999999999,0.22216,-0.073666,0.0067269999999999,0.28352,0.067732,0.77053,0.5090100000000001,0.089609,0.14167,0.69107,0.75866,0.73883,0.93019,0.49838,0.1247,0.55853,0.72396,0.0853169999999999,0.83354,0.46702,0.66865,0.0035409999999999,0.70305,0.5488,0.63173,0.68603,0.8025,0.63955,0.15787,0.65796,0.28686,0.78925,0.6039,0.42041,0.65992,0.13346,-0.38288,0.8923399999999999,0.50272,0.43018,-0.10268,0.50525,-0.23548,-0.22278,-0.19754,-0.34629,0.23267,-0.1662,0.32175,0.12419,0.7039316619595809,1.2448490517803172
23,36000000,0.72916,1.0485,1.0273,0.94326,0.32223,0.36883,0.42413,-0.008624,-0.0113099999999999,0.60905,0.049011,1.122,0.90274,0.19396,0.079911,0.7561,0.96407,0.8385299999999999,0.88612,0.7661,0.39531,0.90332,0.90089,0.13233,1.1705,0.8214299999999999,0.87282,0.27492,1.0144,0.8504799999999999,0.98344,0.8468100000000001,0.86314,0.8845700000000001,0.26188,0.56904,0.29973,0.79079,1.0299,0.64294,0.80043,0.18507,-0.44091,1.0012,0.8335600000000001,0.8635799999999999,-0.12233,0.87715,-0.2240199999999999,-0.22088,-0.18037,-0.3321,0.56984,-0.15707,0.69898,0.30168,0.6557337588208811,1.4471452117702177
24,37500000,0.748,1.1353,1.06655,0.93394,0.323825,0.41228,0.4448749999999999,-0.0200615,-0.0011395,0.59863,0.0424565,1.09175,0.8878550000000001,0.24243,0.1438249999999999,0.76956,0.931905,0.7924950000000001,0.8863300000000001,0.800165,0.32831,0.91739,0.8511700000000001,0.2135,1.18425,0.94876,0.864555,0.259905,1.0091,0.8285100000000001,0.984415,0.950435,0.84477,0.90996,0.302635,0.50013,0.27516,0.739965,1.0550000000000002,0.66674,0.79427,0.178455,-0.4421699999999999,0.992255,0.8312600000000001,0.8381149999999999,-0.0701985,0.861995,-0.2315249999999999,-0.21662,-0.196635,-0.349615,0.609235,-0.155975,0.713495,0.332965,0.6585394769464583,1.453533760190409
25,39000000,0.54169,0.94751,0.8598100000000001,0.8549399999999999,0.30395,0.44197,0.30554,-0.1093,-0.031365,0.4239,0.057422,0.90287,0.68785,0.1037299999999999,0.1645299999999999,0.7579899999999999,0.88697,0.7658,0.88544,0.61193,0.2132099999999999,0.7216600000000001,0.79506,0.11622,1.0126,0.69919,0.77778,0.10271,0.8200700000000001,0.75367,0.78261,0.7612399999999999,0.81984,0.68666,0.22488,0.50654,0.3064199999999999,0.74297,0.81148,0.52572,0.72588,0.14262,-0.44515,0.8636799999999999,0.60532,0.6182,-0.1811,0.6100399999999999,-0.22993,-0.2174199999999999,-0.19629,-0.345,0.45326,-0.17307,0.51444,0.13232,0.6829177483207681,1.3117719324631056
26,40500000,0.3910049999999999,0.599885,0.4822899999999999,0.5120800000000001,0.4454599999999999,0.46556,0.1462899999999999,-0.073056,0.0126684999999999,0.150475,0.141555,0.4795899999999999,0.363515,0.0529255,0.091454,0.73012,0.66697,0.66182,0.975445,0.2918,0.0142569999999999,0.3241549999999999,0.606195,0.0776745,0.5672900000000001,0.3430999999999999,0.6655199999999999,-0.0350825,0.5485850000000001,0.371815,0.4087649999999999,0.4794249999999999,0.73394,0.35413,0.1539299999999999,0.684755,0.2355249999999999,0.73953,0.449605,0.363,0.5733250000000001,0.071196,-0.33876,0.8231999999999999,0.355295,0.37051,-0.114115,0.27387,-0.2294649999999999,-0.20804,-0.196085,-0.3424299999999999,0.1630349999999999,-0.16642,0.17062,0.01337,0.7287544826237913,1.1103308022720797
27,42000000,0.41534,0.60474,0.57257,0.44821,0.4287949999999999,0.4021099999999999,0.1209,-0.0971225,0.041016,0.197805,0.1657799999999999,0.558835,0.4233949999999999,0.0114784999999999,0.193835,0.629145,0.6634,0.628015,0.854095,0.29683,0.0063615,0.39127,0.560225,0.060457,0.67877,0.34133,0.644085,-0.0270384999999999,0.55613,0.470815,0.5522400000000001,0.5008999999999999,0.67669,0.3633899999999999,0.0693735,0.589025,0.171605,0.66156,0.4680149999999999,0.32225,0.6187750000000001,0.075207,-0.31422,0.725765,0.397905,0.427285,-0.1614249999999999,0.38346,-0.23158,-0.213145,-0.1996399999999999,-0.34672,0.1656,-0.159045,0.16008,0.086722,0.7420590827486395,1.0609211818905688
28,43500000,0.078622,0.019393,0.015127,-0.067506,0.34158,0.25236,0.0193729999999999,0.041428,0.065255,-0.083583,0.28734,-0.004757,0.0630169999999999,-0.007387,0.22958,0.32602,0.20529,0.29996,0.4082699999999999,0.10768,-0.1574,-0.11015,0.23706,0.10021,0.02016,-0.083461,0.29496,-0.037268,0.097485,-0.098823,0.043572,0.097995,0.3387699999999999,0.075971,0.014131,0.40606,-0.1210099999999999,0.078093,-0.034184,0.051315,0.32006,0.10365,-0.058099,0.37988,-0.005757,0.000642,0.038478,-0.0884279999999999,-0.2189699999999999,-0.20421,-0.20343,-0.33728,-0.25218,-0.16703,-0.24513,-0.048491,0.8212479502297163,0.7199903952962732
29,45000000,0.021966,-0.089853,-0.0537299999999999,-0.10437,0.4138699999999999,0.2788,-0.031779,-0.002143,0.12736,-0.12646,0.49101,-0.088461,0.038725,-0.067777,0.30057,0.34238,0.19723,0.28246,0.36751,0.024741,-0.1774,-0.11963,0.18782,0.1905099999999999,-0.1118,-0.15278,0.26281,-0.012416,0.030713,-0.16937,-0.036989,-0.04629,0.32804,-0.024502,0.0142479999999999,0.4640899999999999,-0.1393299999999999,0.028057,-0.097882,-0.0149229999999999,0.33997,0.062261,-0.025454,0.318,-0.063247,-0.079603,-0.0076549999999999,-0.089923,-0.2095699999999999,-0.20573,-0.20144,-0.33444,-0.31649,-0.1612,-0.35933,0.023049,0.8324490377912418,0.662895255117645
30,46500000,-0.072907,-0.18061,-0.1926,-0.23478,0.2949,0.2155,-0.11282,0.032074,0.1162,-0.15213,0.3892,-0.22178,-0.0943929999999999,-0.085986,0.22973,0.26229,0.054389,0.17139,0.32739,-0.015811,-0.23435,-0.2142599999999999,0.080684,0.15732,-0.22649,-0.22358,0.12389,-0.11083,-0.0898549999999999,-0.24648,-0.17774,-0.0525659999999999,0.25079,-0.082285,0.01734,0.32133,-0.19434,-0.038313,-0.20243,-0.11548,0.23401,0.046147,-0.01034,0.20268,-0.15895,-0.19202,-0.023669,-0.19476,-0.2233099999999999,-0.20531,-0.20693,-0.34562,-0.447,-0.17423,-0.46667,-0.066976,0.8370925996714245,0.6586636861833215
31,48000000,-0.17657,-0.2645,-0.27084,-0.3326,0.32183,0.17325,-0.13396,0.0015689999999999,0.14063,-0.18129,0.39597,-0.35391,-0.1952,-0.03595,0.20546,0.18619,-0.007109,0.0801679999999999,0.17163,-0.13113,-0.2710599999999999,-0.27666,0.014505,0.1408,-0.31585,-0.35788,0.042832,-0.13821,-0.2,-0.33099,-0.2611199999999999,-0.16257,0.2072099999999999,-0.14714,-0.083281,0.23653,-0.26581,-0.19879,-0.35863,-0.1915599999999999,0.19267,0.0015119999999999,0.043304,0.096034,-0.29524,-0.32473,0.0008529999999999,-0.31434,-0.22595,-0.21129,-0.20748,-0.3517,-0.50372,-0.17422,-0.50485,-0.13654,0.8522013970852105,0.6062438974570656
32,49500000,-0.16283,-0.2493,-0.2323,-0.29659,0.3228,0.22771,-0.16401,0.01965,0.087417,-0.22059,0.34197,-0.3038099999999999,-0.22339,-0.14576,0.14834,0.2025,0.0293529999999999,0.13798,0.30153,-0.079601,-0.26028,-0.2474199999999999,0.014713,0.065841,-0.25597,-0.28844,0.057387,-0.17054,-0.17475,-0.28934,-0.2330699999999999,-0.14049,0.2308,-0.15555,-0.057432,0.24527,-0.1774099999999999,-0.086779,-0.31198,-0.17442,0.11599,-0.03566,0.015974,0.1826,-0.29013,-0.2927599999999999,-0.080243,-0.29889,-0.2244699999999999,-0.21584,-0.20597,-0.34936,-0.4815,-0.1736,-0.48584,-0.1619,0.8435510022032722,0.6463186042253981
33,51000000,0.09042,0.12911,0.10185,-0.022409,0.4048,0.3128599999999999,0.0287709999999999,0.03563,0.032121,-0.0019219999999999,0.33219,0.1193299999999999,0.054087,0.040681,0.20904,0.33258,0.27528,0.30778,0.5141899999999999,0.10865,-0.14089,0.0091019999999999,0.2631199999999999,-0.002408,0.088867,-0.010698,0.32666,-0.018768,0.16087,-0.008784,0.1171799999999999,0.18591,0.41981,0.14434,0.12044,0.4452,0.021711,0.18477,0.031544,-0.004253,0.2796599999999999,0.10778,-0.1094,0.43326,-0.005828,-0.044002,-0.084912,-0.009608,-0.22598,-0.2258099999999999,-0.20464,-0.34748,-0.23803,-0.17045,-0.27698,-0.037546,0.8060665344369469,0.7802755508621226
34,52500000,0.1003775,0.2011649999999999,0.161795,0.0561095,0.388455,0.33287,0.083386,0.019079,0.066244,-0.0162975,0.330795,0.15172,0.1077949999999999,0.0275275,0.255085,0.44254,0.338605,0.368815,0.509575,0.1178299999999999,-0.13122,0.026527,0.3034599999999999,0.0255814999999999,0.15313,0.0145099999999999,0.33931,-0.05325,0.16644,0.0070694999999999,0.2129349999999999,0.19695,0.4477649999999999,0.1180249999999999,0.0669319999999999,0.4551799999999999,-0.0436239999999999,0.139975,0.0669724999999999,0.08917,0.3614349999999999,0.0785289999999999,-0.0752005,0.4543299999999999,0.0107464999999999,0.007029,-0.0675475,0.008626,-0.22725,-0.2143649999999999,-0.19831,-0.3499249999999999,-0.176915,-0.167275,-0.209815,-0.0409325,0.8088160769952011,0.7643043370882263
35,54000000,0.224575,0.31088,0.279455,0.1638249999999999,0.363185,0.36578,0.1356299999999999,0.0165594999999999,0.0258634999999999,0.0124504999999999,0.24929,0.29764,0.200565,0.04532,0.2536449999999999,0.389555,0.435635,0.473475,0.5756,0.25969,-0.069137,0.15155,0.4143449999999999,0.0680375,0.26348,0.12398,0.42672,-0.1108,0.3679,0.12713,0.379015,0.1738,0.505985,0.24453,0.077692,0.491565,0.0185115,0.24501,0.25361,0.17035,0.4438499999999999,0.0857995,-0.14505,0.5983,0.174845,0.169285,-0.110205,0.17312,-0.23317,-0.228035,-0.1950299999999999,-0.35184,-0.0991944999999999,-0.17017,-0.14321,0.0299405,0.7900862911864466,0.864947081414712
36,55500000,0.0613665,0.0159815,0.0245249999999999,0.0202819999999999,0.4493549999999999,0.335335,-0.0341409999999999,0.0001629999999999,0.10352,-0.1215999999999999,0.29406,-0.01671,0.0130659999999999,-0.0631775,0.2824649999999999,0.41345,0.2704149999999999,0.4426799999999999,0.58929,0.0431945,-0.166325,-0.0463414999999999,0.32687,0.029656,0.015668,-0.1035849999999999,0.3150149999999999,-0.0925049999999999,0.1178749999999999,-0.1225499999999999,0.062166,0.032884,0.4718549999999999,0.0223619999999999,-0.023413,0.456145,0.0815055,0.21275,-0.0365045,0.0299334999999999,0.335775,0.014369,-0.1199499999999999,0.4370699999999999,-0.0533255,0.007626,-0.090474,-0.1193299999999999,-0.2242149999999999,-0.20919,-0.196685,-0.34617,-0.230105,-0.174665,-0.2764,-0.101555,0.804084448209738,0.7800324464315365
